"Variante","Endpoint","RPS (req/s)","p50 (ms)","p95 (ms)","p99 (ms)","Error %"
"A : Jersey","GET /items?categoryId=","0.09","1811","3876","4374","0"
"A : Jersey","GET /items/{id}","1.1","1135","1135","1135","0"
"A : Jersey","TOTAL","138.09","1685","2686","8837","0.0"
"C : @RestController","GET /items?categoryId=","0.05","3824","4598","4598","0"
"C : @RestController","GET /items/{id}","0.75","2550","2550","2550","100"
"C : @RestController","TOTAL","71.82","2930","4453","7700","29.96"
"D : Spring Data REST","GET /items?categoryId=","0.06","1718","1902","1902","0"
"D : Spring Data REST","GET /items/{id}","1.09","1051","1051","1051","0"
"D : Spring Data REST","TOTAL","90.61","1556","1736","2319","0.0"
